senior_citizen,tenure_months,monthly_charges,total_charges,churn,total_services,is_auto_payment,gender_Male,partner_Yes,dependents_Yes,multiple_lines_No phone service,multiple_lines_Yes,internet_service_Fiber optic,internet_service_No,contract_One year,contract_Two year,paperless_billing_Yes,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check
0,63,100.2,6311.42,0,3,1,True,True,True,False,True,False,False,True,False,True,True,False,False
0,8,91.52,721.08,1,2,0,True,False,False,True,False,True,False,False,False,True,False,True,False
1,33,79.15,2607.71,0,2,0,False,True,True,True,False,False,False,True,False,True,False,False,True
1,41,110.2,4516.43,1,1,0,False,True,False,True,False,False,True,False,False,False,False,True,False
0,72,63.42,4567.12,0,2,0,False,True,False,False,False,True,False,False,False,True,False,True,False
1,33,24.64,819.42,0,2,1,True,False,False,True,False,True,False,True,False,False,False,False,False
0,23,85.47,1976.0,0,3,1,True,False,True,False,True,True,False,False,False,True,True,False,False
1,37,91.58,3389.82,1,1,0,False,False,True,False,False,False,True,False,False,False,False,True,False
0,35,65.71,2300.88,0,2,1,False,True,False,False,False,False,False,False,True,False,False,False,False
1,47,89.93,4224.26,0,2,0,True,False,False,False,False,True,False,False,True,False,False,False,True
1,1,90.78,82.2,0,2,0,True,False,True,False,True,False,True,True,False,False,False,True,False
1,14,67.88,947.29,0,2,1,False,True,False,False,True,False,True,False,True,False,True,False,False
1,9,89.67,806.0,0,3,1,False,True,False,False,True,False,False,False,True,True,False,False,False
0,42,62.4,2625.68,1,2,0,False,True,False,True,False,False,False,False,False,True,False,True,False
1,51,21.41,1094.51,0,1,1,True,True,False,False,False,False,True,False,True,True,True,False,False
1,52,74.86,3893.83,0,2,1,False,True,True,False,True,False,True,False,False,True,True,False,False
0,4,109.46,434.94,0,3,0,True,False,True,False,True,False,False,False,False,False,False,False,True
1,23,78.99,1806.86,1,3,1,False,False,False,False,True,True,False,False,False,False,True,False,False
0,15,94.18,1403.09,0,3,0,False,False,False,False,True,False,False,True,False,False,False,True,False
0,36,113.01,4060.04,0,1,0,False,False,False,False,False,False,True,False,False,True,False,False,True
1,71,47.37,3361.81,0,2,1,True,True,True,True,False,True,False,True,False,False,True,False,False
0,28,111.68,3132.01,0,1,1,False,True,False,False,False,False,True,False,True,True,True,False,False
0,45,47.96,2163.04,0,2,1,False,False,False,False,False,True,False,False,True,True,True,False,False
1,6,64.13,388.75,0,2,0,True,False,False,True,False,True,False,True,False,False,False,False,True
0,44,60.11,2642.26,0,2,0,False,True,False,False,True,False,True,False,True,True,False,True,False
0,62,72.45,4497.62,0,2,0,False,False,True,True,False,True,False,True,False,False,False,False,True
1,62,29.31,1812.56,0,2,1,False,False,False,False,False,True,False,True,False,True,True,False,False
0,27,61.17,1655.86,0,3,0,True,False,True,False,True,False,False,False,True,True,False,True,False
0,3,18.95,48.48,0,2,0,True,True,True,True,False,False,False,True,False,True,False,False,True
1,72,71.93,5173.07,0,2,0,False,False,True,False,True,False,True,False,True,True,False,False,True
0,62,40.57,2523.6,0,2,0,False,True,False,False,True,False,True,True,False,False,False,False,True
0,51,45.33,2310.81,1,2,1,True,True,False,False,True,False,True,False,False,True,False,False,False
1,24,113.01,2708.84,0,2,1,False,True,False,True,False,True,False,True,False,True,True,False,False
1,32,70.39,2257.99,0,1,1,False,True,False,True,False,False,True,False,True,False,True,False,False
1,52,54.79,2855.17,0,2,0,False,False,False,True,False,False,False,True,False,False,False,False,True
1,58,114.98,6666.67,0,2,0,False,False,True,False,False,True,False,False,False,False,False,False,True
1,39,68.22,2661.97,0,2,0,False,False,False,False,True,False,True,True,False,True,False,False,True
0,56,21.96,1230.44,0,3,1,True,False,False,False,True,False,False,False,True,False,True,False,False
0,2,68.77,123.4,0,2,1,False,True,False,True,False,True,False,False,True,True,False,False,False
1,54,21.57,1157.8,0,2,1,False,False,False,False,True,False,True,True,False,False,True,False,False
1,1,42.33,47.04,1,1,0,False,False,True,True,False,False,True,False,False,False,False,True,False
0,2,71.61,139.06,0,1,0,True,True,False,False,False,False,True,False,True,False,False,True,False
1,32,73.82,2364.89,0,2,1,True,True,False,True,False,True,False,False,False,True,False,False,False
0,68,26.38,1795.16,1,3,1,True,False,True,False,True,True,False,False,False,True,False,False,False
1,56,42.13,2365.36,0,2,0,False,False,False,True,False,False,False,True,False,False,False,True,False
1,38,55.21,2091.16,0,2,0,True,False,True,False,True,False,True,False,True,True,False,False,True
1,70,58.33,4085.07,0,1,1,True,True,True,True,False,False,True,True,False,True,True,False,False
1,16,102.2,1634.87,0,1,0,False,False,False,False,False,False,True,False,True,True,False,True,False
0,59,37.0,2179.05,1,2,0,True,False,True,True,False,False,False,False,False,True,False,False,True
1,3,77.63,228.91,1,2,1,True,False,False,False,False,False,False,False,False,False,False,False,False
0,59,40.38,2383.56,0,2,1,False,True,False,False,True,False,True,False,True,True,True,False,False
0,67,99.6,6676.35,0,2,1,True,True,False,True,False,False,False,False,False,True,False,False,False
1,20,83.09,1662.12,0,3,1,False,True,False,False,True,True,False,False,True,False,False,False,False
1,52,112.77,5864.51,0,1,0,False,True,True,False,False,False,True,True,False,False,False,True,False
0,40,57.12,2282.31,0,3,1,True,True,False,False,True,False,False,False,False,False,True,False,False
0,1,86.16,84.0,0,2,1,False,False,False,True,False,True,False,True,False,False,False,False,False
0,57,29.65,1686.09,0,1,1,False,True,False,False,False,False,True,True,False,False,True,False,False
1,23,72.67,1668.82,1,2,0,True,True,False,False,False,True,False,False,False,False,False,True,False
1,42,44.17,1858.11,0,3,1,False,True,True,False,True,True,False,False,True,False,True,False,False
0,16,100.38,1609.61,0,2,0,True,False,True,False,False,True,False,False,True,False,False,True,False
0,60,44.46,2661.22,0,3,0,True,True,False,False,True,False,False,False,True,False,False,True,False
0,1,27.61,23.13,0,3,1,True,False,True,False,True,False,False,True,False,False,False,False,False
1,12,74.36,888.77,0,1,0,False,False,True,False,False,False,True,False,False,False,False,False,True
0,32,81.88,2619.84,0,1,1,True,False,False,False,False,False,True,True,False,True,False,False,False
1,9,46.28,408.1,0,3,1,False,True,False,False,True,True,False,True,False,False,True,False,False
1,19,91.21,1728.6,1,3,0,False,True,True,False,True,True,False,False,False,False,False,True,False
1,3,104.31,306.0,1,2,0,False,False,False,False,True,False,True,False,False,False,False,True,False
1,54,96.63,5220.02,0,1,0,True,True,False,True,False,False,True,True,False,True,False,False,True
0,24,103.77,2490.33,0,2,0,False,True,False,False,False,True,False,False,True,False,False,True,False
1,72,97.18,6994.65,0,3,0,False,False,False,False,True,False,False,False,True,True,False,False,True
0,25,18.76,463.68,0,1,1,False,True,False,True,False,False,True,False,True,True,True,False,False
1,66,87.79,5791.9,0,2,1,True,True,True,False,False,False,False,True,False,False,False,False,False
0,61,40.79,2485.37,1,2,0,False,True,False,False,True,False,True,False,False,True,False,False,True
1,33,20.07,670.48,1,3,1,True,True,False,False,True,False,False,False,False,False,False,False,False
1,14,50.95,718.29,0,1,0,False,True,False,False,False,False,True,False,True,True,False,True,False
1,20,55.08,1098.15,0,3,0,False,False,False,False,True,True,False,True,False,False,False,False,True
1,8,103.6,829.63,0,1,1,False,True,True,False,False,False,True,True,False,False,False,False,False
1,17,49.21,841.29,0,2,1,True,False,True,False,True,False,True,False,True,True,True,False,False
0,48,27.66,1324.22,0,3,0,False,False,True,False,True,False,False,False,True,False,False,False,True
0,22,42.77,933.85,0,1,0,True,False,False,True,False,False,True,True,False,True,False,True,False
1,38,116.63,4422.96,0,2,1,False,False,True,True,False,False,False,False,True,False,False,False,False
1,51,107.9,5509.26,1,3,0,True,False,False,False,True,True,False,False,False,False,False,True,False
0,27,61.91,1670.61,1,2,0,True,False,False,True,False,True,False,False,False,False,False,True,False
1,21,68.77,1445.63,1,3,1,False,False,False,False,True,True,False,False,False,True,True,False,False
1,28,85.48,2390.57,0,3,1,True,True,True,False,True,True,False,False,True,False,True,False,False
0,69,41.38,2848.88,0,2,0,True,True,True,False,False,True,False,False,False,True,False,False,True
1,48,46.47,2225.15,0,2,0,True,False,False,False,True,False,True,False,True,False,False,False,True
0,35,95.49,3335.44,0,2,0,False,False,False,False,False,False,False,False,True,False,False,False,True
1,17,118.2,2013.65,0,1,0,False,True,False,True,False,False,True,True,False,False,False,True,False
1,30,114.12,3431.06,0,2,0,False,True,True,False,False,False,False,False,True,True,False,True,False
1,6,55.45,332.89,0,3,0,True,True,True,False,True,False,False,False,False,True,False,False,True
1,37,111.55,4119.76,1,2,0,True,True,True,False,False,False,False,False,False,False,False,False,True
0,46,115.4,5310.88,0,2,0,True,True,True,False,False,False,False,False,True,False,False,True,False
1,60,103.98,6245.12,0,3,0,True,True,True,False,True,True,False,False,True,True,False,True,False
1,63,48.97,3089.97,0,1,1,False,False,True,False,False,False,True,False,False,True,False,False,False
0,32,103.79,3321.13,0,2,1,False,True,False,False,False,True,False,False,True,True,True,False,False
0,67,35.28,2362.59,0,3,1,False,True,False,False,True,False,False,False,False,True,False,False,False
1,25,57.92,1447.81,0,2,0,False,False,False,False,True,False,True,True,False,True,False,True,False
1,54,88.2,4768.93,0,2,1,True,False,True,False,False,True,False,True,False,False,True,False,False
1,46,28.02,1292.72,0,3,1,True,False,False,False,True,True,False,True,False,True,True,False,False
0,32,85.7,2740.47,0,2,0,True,True,True,False,False,False,False,False,True,False,False,False,True
1,23,32.33,741.54,0,1,1,True,True,False,False,False,False,True,True,False,True,False,False,False
1,27,47.93,1291.7,0,1,0,False,True,True,True,False,False,True,True,False,True,False,True,False
1,17,103.54,1754.86,0,3,1,False,True,False,False,True,False,False,True,False,True,False,False,False
0,9,88.85,806.41,1,2,0,True,False,False,False,False,True,False,False,False,True,False,False,True
0,48,73.81,3538.94,0,1,1,False,True,True,True,False,False,True,False,True,True,True,False,False
1,42,99.59,4185.23,0,2,0,False,False,True,False,False,True,False,False,True,False,False,True,False
0,50,105.39,5266.19,0,3,1,True,True,True,False,True,False,False,True,False,False,True,False,False
1,13,26.45,341.46,1,1,1,False,False,False,True,False,False,True,False,False,False,True,False,False
1,7,68.65,479.98,0,2,0,True,False,False,True,False,False,False,True,False,True,False,True,False
1,45,37.77,1702.38,0,2,0,True,True,True,False,False,True,False,True,False,True,False,True,False
1,8,88.8,709.1,0,1,1,False,True,True,False,False,False,True,False,True,True,False,False,False
1,16,23.35,367.9,1,2,1,True,True,False,True,False,True,False,False,False,False,True,False,False
1,15,56.0,840.1,0,2,1,False,False,True,False,False,False,False,True,False,True,True,False,False
0,66,62.32,4109.29,0,2,0,False,False,True,True,False,True,False,False,True,False,False,True,False
1,63,21.86,1384.9,0,2,0,False,False,True,False,False,False,False,False,False,True,False,False,True
1,25,33.83,844.45,0,2,0,False,True,True,True,False,False,False,True,False,True,False,False,True
0,62,47.05,2913.76,0,1,1,True,True,False,False,False,False,True,False,True,False,False,False,False
0,58,104.72,6083.63,0,2,1,False,False,True,False,False,True,False,False,True,False,False,False,False
1,49,22.0,1081.69,1,2,1,True,True,False,False,False,True,False,False,False,True,False,False,False
0,70,48.73,3406.62,0,1,1,False,True,False,False,False,False,True,False,True,True,True,False,False
1,60,51.08,3060.85,1,2,0,True,False,True,True,False,True,False,False,False,False,False,True,False
0,8,95.63,767.41,0,1,1,True,True,False,False,False,False,True,False,True,True,False,False,False
1,5,64.21,321.27,0,1,1,False,False,False,False,False,False,True,False,True,True,False,False,False
1,6,23.44,145.09,0,2,1,True,True,False,False,False,True,False,False,True,True,False,False,False
0,47,88.55,4158.54,0,2,0,True,False,False,False,True,False,True,False,True,False,False,False,True
1,40,91.22,3652.31,0,1,1,True,False,False,True,False,False,True,False,True,True,True,False,False
0,13,115.69,1492.78,0,2,0,False,False,False,True,False,False,False,True,False,False,False,False,True
0,30,22.38,670.63,0,2,1,True,True,True,False,False,False,False,False,True,True,False,False,False
1,63,61.82,3891.57,0,1,1,True,True,True,True,False,False,True,False,True,True,True,False,False
1,58,26.13,1513.26,0,1,0,True,False,True,False,False,False,True,True,False,False,False,False,True
1,62,102.27,6340.23,0,1,1,True,False,True,False,False,False,True,False,True,False,True,False,False
1,9,87.44,792.65,1,1,0,False,False,True,True,False,False,True,False,False,False,False,True,False
1,1,35.67,29.9,0,2,1,False,True,True,False,False,False,False,False,False,False,True,False,False
1,1,62.71,51.77,1,2,0,True,True,True,False,False,True,False,False,False,False,False,True,False
1,48,36.63,1753.05,1,2,1,False,True,False,True,False,True,False,False,False,True,False,False,False
1,1,114.21,119.32,0,2,1,True,True,True,True,False,True,False,True,False,True,True,False,False
0,64,73.96,4725.22,1,2,0,False,True,True,False,False,False,False,False,False,False,False,True,False
0,22,91.62,2012.78,0,2,0,False,False,True,True,False,False,False,True,False,False,False,True,False
1,67,43.15,2895.25,0,3,0,True,True,True,False,True,False,False,True,False,False,False,True,False
0,16,34.19,546.75,1,2,0,False,False,True,False,True,False,True,False,False,False,False,True,False
1,57,52.61,3004.41,0,3,0,True,False,True,False,True,True,False,True,False,False,False,True,False
0,69,27.71,1901.82,0,2,1,False,False,True,False,True,False,True,False,True,True,False,False,False
0,62,88.97,5514.53,0,3,1,True,False,False,False,True,False,False,False,True,False,True,False,False
0,16,28.08,455.97,1,2,0,True,True,False,True,False,True,False,False,False,True,False,False,True
1,48,99.34,4762.69,0,3,0,True,False,False,False,True,True,False,True,False,True,False,False,True
1,33,64.95,2148.52,0,2,1,False,True,False,False,False,False,False,True,False,False,True,False,False
1,23,23.08,529.66,0,1,1,False,False,True,False,False,False,True,True,False,False,False,False,False
1,69,107.36,7410.01,0,3,1,True,True,False,False,True,False,False,False,True,False,False,False,False
0,52,55.9,2913.12,0,2,0,True,False,False,False,False,True,False,False,True,False,False,False,True
1,19,68.82,1309.73,0,3,1,False,False,True,False,True,True,False,False,True,False,False,False,False
0,1,72.46,69.5,0,2,0,True,False,False,False,True,False,True,False,True,True,False,True,False
1,4,80.14,323.37,0,2,1,True,True,True,True,False,False,False,False,True,False,False,False,False
0,2,20.91,38.51,0,2,0,False,True,False,False,False,True,False,True,False,True,False,False,True
1,32,112.74,3609.05,1,2,1,False,False,False,True,False,False,False,False,False,True,True,False,False
0,24,86.31,2065.18,0,3,1,False,False,False,False,True,True,False,False,False,False,True,False,False
0,35,82.9,2901.65,0,2,0,True,True,True,False,False,False,False,False,True,False,False,True,False
1,33,99.78,3298.69,0,2,1,False,True,False,False,False,False,False,False,True,True,False,False,False
0,43,112.87,4851.92,0,2,1,True,True,True,True,False,True,False,False,False,False,False,False,False
0,67,100.7,6752.37,0,2,1,False,True,True,False,False,True,False,False,True,False,True,False,False
0,40,109.24,4385.07,0,3,1,False,True,False,False,True,False,False,True,False,False,False,False,False
0,44,45.78,2014.18,1,3,1,True,True,False,False,True,False,False,False,False,True,False,False,False
0,12,28.38,343.63,0,1,1,True,False,True,False,False,False,True,True,False,True,False,False,False
1,2,22.17,46.72,1,2,0,True,True,False,False,True,False,True,False,False,True,False,False,True
1,35,52.07,1823.58,0,2,0,True,True,True,True,False,False,False,False,True,False,False,False,True
0,8,56.98,459.78,0,3,1,False,False,False,False,True,True,False,True,False,True,True,False,False
1,34,44.45,1510.06,0,2,1,False,True,True,True,False,True,False,True,False,False,True,False,False
1,7,30.13,207.6,0,3,1,True,True,False,False,True,True,False,False,True,False,True,False,False
1,29,22.19,635.88,0,2,1,True,True,False,True,False,True,False,False,False,False,True,False,False
0,21,115.49,2423.58,0,2,0,True,True,True,False,False,True,False,False,True,False,False,False,True
1,36,36.08,1303.39,0,2,1,True,False,True,True,False,True,False,False,True,False,True,False,False
1,24,99.34,2379.46,0,1,0,False,True,True,False,False,False,True,True,False,True,False,False,True
0,49,91.78,4498.45,0,1,1,False,True,False,False,False,False,True,False,True,False,False,False,False
0,36,55.64,2002.42,0,1,1,True,False,True,False,False,False,True,True,False,False,False,False,False
1,24,105.4,2526.5,0,1,1,True,True,True,False,False,False,True,True,False,True,True,False,False
1,37,42.23,1553.24,0,2,1,False,True,True,True,False,True,False,True,False,False,False,False,False
0,55,93.71,5160.86,1,2,1,True,False,True,True,False,False,False,False,False,False,True,False,False
0,30,108.96,3271.39,1,3,1,False,True,False,False,True,True,False,False,False,False,False,False,False
1,62,68.15,4238.63,0,2,1,False,False,False,True,False,True,False,True,False,True,True,False,False
0,13,108.25,1412.65,0,2,0,False,False,False,False,True,False,True,False,True,True,False,True,False
0,49,23.63,1164.57,0,3,0,False,False,True,False,True,False,False,False,False,True,False,False,True
1,61,109.24,6654.89,0,2,1,True,False,False,True,False,True,False,False,True,True,True,False,False
0,9,50.34,444.23,0,3,1,False,True,True,False,True,True,False,False,True,False,True,False,False
0,52,75.88,3945.97,0,3,1,False,False,False,False,True,True,False,False,True,False,True,False,False
0,16,63.32,1007.38,0,2,1,True,False,False,True,False,True,False,True,False,True,True,False,False
1,12,51.28,611.95,0,2,1,False,False,False,False,False,False,False,False,True,False,True,False,False
0,53,97.8,5196.03,1,1,1,False,False,True,False,False,False,True,False,False,False,True,False,False
1,57,29.65,1696.0,0,3,0,False,True,True,False,True,True,False,False,True,False,False,False,True
0,53,67.94,3596.14,1,2,0,True,True,True,False,True,False,True,False,False,True,False,True,False
1,39,118.34,4603.43,1,1,0,True,False,False,True,False,False,True,False,False,True,False,False,True
1,5,92.32,456.5,0,2,0,False,False,True,False,False,True,False,True,False,True,False,True,False
0,18,115.6,2078.01,0,2,0,True,True,False,True,False,False,False,True,False,False,False,False,True
0,9,94.78,851.41,1,2,1,False,True,False,False,True,False,True,False,False,False,False,False,False
1,17,28.41,476.57,1,2,0,False,True,False,False,False,False,False,False,False,False,False,False,True
1,7,61.07,433.14,0,3,0,False,True,True,False,True,True,False,True,False,True,False,False,True
1,40,25.56,1018.84,1,1,0,False,False,True,False,False,False,True,False,False,True,False,False,True
1,50,107.89,5397.74,1,2,1,False,True,True,False,False,True,False,False,False,False,False,False,False
1,66,26.43,1744.65,0,3,0,False,True,False,False,True,True,False,False,True,True,False,True,False
1,37,41.69,1547.22,0,1,0,True,False,True,False,False,False,True,False,True,False,False,True,False
1,8,55.86,445.69,0,2,1,False,True,True,True,False,True,False,False,False,False,False,False,False
1,65,106.73,6932.83,0,2,1,False,True,True,False,True,False,True,False,False,False,False,False,False
0,17,113.45,1925.66,1,2,1,True,True,True,False,True,False,True,False,False,True,False,False,False
0,45,93.96,4225.28,0,1,1,False,True,False,True,False,False,True,True,False,True,True,False,False
1,70,89.42,6269.72,0,3,0,True,False,True,False,True,True,False,False,True,False,False,True,False
1,19,96.35,1831.03,0,3,1,False,True,True,False,True,False,False,False,False,False,False,False,False
0,54,89.11,4811.96,0,2,0,True,True,False,True,False,True,False,True,False,True,False,False,True
1,19,29.43,563.58,1,2,1,False,False,False,False,False,True,False,False,False,True,False,False,False
0,67,43.75,2931.25,0,3,1,True,False,True,False,True,False,False,False,False,True,False,False,False
1,58,92.72,5383.37,0,2,1,False,False,True,True,False,True,False,True,False,True,False,False,False
0,72,30.06,2162.46,0,3,0,True,True,False,False,True,False,False,False,False,True,False,True,False
0,39,93.23,3633.6,1,1,1,True,False,True,True,False,False,True,False,False,False,True,False,False
0,62,58.47,3620.24,0,3,1,True,True,True,False,True,True,False,False,False,False,False,False,False
1,25,105.54,2647.75,0,2,0,True,True,True,False,False,True,False,True,False,True,False,False,True
1,38,62.1,2359.45,0,2,1,False,True,False,False,True,False,True,True,False,False,True,False,False
0,58,19.47,1123.39,0,1,0,False,False,False,True,False,False,True,True,False,True,False,False,True
0,32,74.13,2373.14,0,3,1,False,False,True,False,True,True,False,True,False,True,True,False,False
1,47,107.81,5063.82,0,3,0,True,True,False,False,True,False,False,True,False,False,False,True,False
0,36,73.91,2658.81,0,2,0,True,False,False,False,True,False,True,False,True,True,False,True,False
0,20,25.83,518.15,0,2,0,True,False,True,False,False,True,False,False,False,True,False,False,True
1,47,81.5,3838.1,0,2,1,True,True,True,False,False,False,False,False,True,False,False,False,False
1,14,47.85,670.41,0,2,1,False,False,False,False,False,True,False,False,True,False,True,False,False
1,1,81.32,77.76,0,2,0,True,False,True,False,False,True,False,True,False,True,False,False,True
0,3,108.82,323.94,1,2,0,True,False,False,False,False,False,False,False,False,False,False,False,True
0,57,110.23,6286.39,0,2,1,False,False,False,False,False,True,False,False,True,False,True,False,False
1,16,107.72,1713.73,0,2,0,True,True,True,False,True,False,True,True,False,True,False,True,False
0,24,80.57,1928.47,0,2,0,True,True,True,False,False,False,False,False,True,True,False,True,False
0,8,35.3,283.46,0,2,1,True,True,False,False,False,False,False,False,True,False,True,False,False
0,36,64.85,2326.07,0,1,1,True,False,True,True,False,False,True,False,True,False,False,False,False
1,58,41.3,2393.84,1,1,0,True,True,True,True,False,False,True,False,False,True,False,False,True
1,28,26.06,727.29,0,2,0,False,False,False,True,False,True,False,True,False,False,False,False,True
1,41,44.37,1823.56,0,2,1,True,True,True,True,False,True,False,True,False,False,True,False,False
0,27,88.42,2386.09,0,2,0,True,True,True,False,False,True,False,False,True,False,False,True,False
0,17,46.37,794.22,1,2,0,True,True,False,False,False,False,False,False,False,False,False,True,False
1,29,31.64,917.95,0,3,0,True,True,True,False,True,False,False,False,True,False,False,True,False
0,35,100.91,3540.73,0,2,0,False,True,False,False,True,False,True,True,False,False,False,False,True
1,69,79.9,5506.16,1,2,1,True,True,True,False,False,False,False,False,False,False,True,False,False
0,66,26.57,1761.71,0,2,1,False,False,False,False,False,False,False,True,False,False,True,False,False
1,30,105.29,3156.64,0,1,1,True,True,False,True,False,False,True,False,False,True,False,False,False
1,5,20.9,111.87,1,2,0,True,True,False,False,False,True,False,False,False,True,False,True,False
1,33,96.4,3187.13,0,2,1,False,False,False,True,False,False,False,False,False,True,True,False,False
1,18,117.47,2100.2,0,2,1,False,True,True,True,False,True,False,False,True,True,False,False,False
0,49,56.11,2751.79,0,2,0,False,False,False,False,False,False,False,False,True,True,False,False,True
0,26,56.53,1474.77,0,2,0,False,True,False,False,False,True,False,True,False,True,False,True,False
1,59,102.88,6076.56,1,2,1,True,False,False,False,False,True,False,False,False,False,False,False,False
1,33,65.35,2150.67,0,2,1,True,True,False,True,False,False,False,True,False,True,True,False,False
1,1,19.62,22.57,0,2,1,False,False,False,False,False,True,False,False,True,True,False,False,False
0,55,105.15,5784.23,0,2,1,False,False,False,True,False,True,False,True,False,False,True,False,False
1,69,118.72,8193.84,1,2,0,True,False,False,False,False,True,False,False,False,True,False,False,True
1,3,74.07,227.2,1,1,1,True,True,False,False,False,False,True,False,False,False,True,False,False
1,53,113.2,6005.38,0,3,1,True,True,False,False,True,False,False,False,True,False,True,False,False
1,17,42.48,718.88,0,2,0,True,False,False,False,True,False,True,False,True,False,False,True,False
0,1,114.13,115.46,1,2,0,False,True,True,False,True,False,True,True,False,True,False,True,False
1,4,41.23,165.13,0,2,0,False,False,True,True,False,False,False,True,False,True,False,False,True
1,32,22.96,733.52,0,2,1,False,False,False,False,True,False,True,False,True,True,False,False,False
1,72,20.48,1473.84,0,2,1,True,True,False,False,False,False,False,False,False,True,False,False,False
1,34,66.11,2248.72,0,3,0,False,False,True,False,True,True,False,True,False,False,False,True,False
1,3,70.53,208.58,0,2,0,False,False,True,False,False,False,False,False,True,True,False,True,False
0,12,100.3,1208.02,0,3,1,False,True,True,False,True,False,False,False,True,True,False,False,False
1,5,27.14,142.05,1,3,1,False,True,False,False,True,False,False,False,False,False,True,False,False
0,57,77.54,4415.68,0,2,0,True,False,False,False,False,False,False,False,True,True,False,False,True
0,47,60.51,2850.56,1,2,0,False,True,True,False,False,True,False,False,False,False,False,True,False
1,14,89.01,1242.05,0,3,1,False,False,False,False,True,True,False,False,True,True,False,False,False
1,51,109.02,5564.51,1,2,1,False,True,False,False,True,False,True,False,False,True,False,False,False
0,64,19.71,1268.02,0,2,1,True,False,True,True,False,True,False,False,True,True,True,False,False
0,38,79.36,3015.21,0,2,0,False,False,False,True,False,True,False,False,True,True,False,False,True
1,30,74.01,2216.25,0,2,1,False,True,True,False,False,True,False,False,True,True,False,False,False
1,51,109.12,5562.18,0,1,1,True,True,True,False,False,False,True,False,True,False,True,False,False
1,52,73.27,3811.85,0,2,0,False,False,False,True,False,False,False,False,True,True,False,False,True
