customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,tenure_group,total_services,is_auto_payment,Probability_Churn,Risk_Segment,Main_Churn_Reason
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,Male,1,Yes,Yes,3,Yes,Yes,Fiber optic,Two year,Yes,Mailed check,104.67,312.59,No,0-1 Year,3,0,0.1,Low Risk,Contract One Year
759cde66-bacf-43d0-8b1f-9163ce9ff57f,Female,0,Yes,No,7,Yes,No,DSL,Month-to-month,No,Bank transfer (automatic),35.39,244.89,No,0-1 Year,2,1,0.4749,Medium Risk,Contract One Year
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Male,0,Yes,Yes,39,Yes,No phone service,No,One year,Yes,Mailed check,19.58,764.26,No,2-4 Years,1,0,0.0343,Low Risk,Contract Two Year
4b0dbb41-8d52-48f1-942c-3fe860e7a113,Male,1,Yes,No,60,Yes,Yes,No,One year,Yes,Mailed check,74.86,4488.64,No,4+ Years,2,0,0.0389,Low Risk,Contract Two Year
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Female,1,No,No,9,Yes,Yes,Fiber optic,Month-to-month,Yes,Mailed check,19.85,179.92,No,0-1 Year,3,0,0.5201,Medium Risk,Contract One Year
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Male,1,Yes,Yes,2,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,87.02,171.44,Yes,0-1 Year,3,0,0.6758,Medium Risk,Contract One Year
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Male,0,Yes,No,60,Yes,No phone service,No,Month-to-month,No,Credit card (automatic),30.51,1833.76,No,4+ Years,1,1,0.3867,Medium Risk,Contract One Year
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,Male,0,No,Yes,8,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,21.71,172.13,No,0-1 Year,2,0,0.425,Medium Risk,Contract Two Year
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,Female,1,No,No,36,Yes,No,No,Month-to-month,Yes,Electronic check,36.56,1322.39,Yes,2-4 Years,1,0,0.5712,Medium Risk,Contract One Year
7412b293-4729-4739-a14f-f3d719db3ad0,Female,1,Yes,Yes,4,Yes,No phone service,DSL,Two year,No,Mailed check,49.58,201.58,No,0-1 Year,2,0,0.0328,Low Risk,Contract One Year
29a3b2e9-5d65-4441-9588-42dea2bc372f,Female,0,No,No,6,Yes,No phone service,DSL,One year,Yes,Electronic check,39.15,235.87,No,0-1 Year,2,0,0.0478,Low Risk,Contract Two Year
ab9099a4-35a2-40ae-9af3-05535ec42e08,Male,0,Yes,Yes,4,Yes,No,Fiber optic,One year,Yes,Credit card (automatic),36.83,146.28,No,0-1 Year,2,1,0.0396,Low Risk,Contract Two Year
aefcfad8-efc8-4849-b3aa-7efe4458a885,Male,0,No,Yes,63,Yes,No,Fiber optic,One year,No,Credit card (automatic),102.9,6475.1,No,4+ Years,2,1,0.0531,Low Risk,Contract Two Year
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,Female,0,Yes,No,44,Yes,No phone service,DSL,Two year,Yes,Bank transfer (automatic),112.67,4964.55,No,2-4 Years,2,1,0.0161,Low Risk,Contract One Year
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,Male,0,No,Yes,62,Yes,No phone service,No,Month-to-month,Yes,Electronic check,111.38,6902.16,Yes,4+ Years,1,0,0.6908,Medium Risk,Contract One Year
451b4cf3-6123-4df7-b656-af7229d4beef,Male,0,No,Yes,48,Yes,Yes,DSL,Two year,Yes,Electronic check,51.07,2451.81,No,4+ Years,3,0,0.0374,Low Risk,Contract One Year
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,Female,1,No,Yes,62,Yes,Yes,No,One year,Yes,Bank transfer (automatic),50.95,3160.62,No,4+ Years,2,1,0.0197,Low Risk,Contract Two Year
5304317f-af42-412f-b838-b3268e944239,Female,0,No,No,53,Yes,No,DSL,Month-to-month,No,Electronic check,77.22,4091.74,Yes,4+ Years,2,0,0.6646,Medium Risk,Contract One Year
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,Male,0,No,Yes,60,Yes,No,DSL,Month-to-month,No,Bank transfer (automatic),72.79,4374.17,Yes,4+ Years,2,1,0.5028,Medium Risk,Contract One Year
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Male,1,No,Yes,41,Yes,Yes,No,One year,Yes,Mailed check,48.03,1963.12,No,2-4 Years,2,0,0.0451,Low Risk,Contract Two Year
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,Female,0,Yes,Yes,45,Yes,No,Fiber optic,Two year,Yes,Bank transfer (automatic),25.74,1166.97,No,2-4 Years,2,1,0.0299,Low Risk,Contract One Year
9132b63e-f162-47e4-a9c3-49e03602f8ac,Male,1,No,No,71,Yes,No phone service,DSL,Two year,No,Bank transfer (automatic),60.8,4320.16,No,4+ Years,2,1,0.0297,Low Risk,Contract One Year
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,Male,0,No,Yes,1,Yes,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),38.22,36.99,Yes,0-1 Year,3,1,0.709,High Risk,Contract Two Year
e27a984d-6548-41d0-bfcd-9eb1a7cad415,Male,0,Yes,Yes,63,Yes,Yes,DSL,One year,Yes,Credit card (automatic),100.2,6311.42,No,4+ Years,3,1,0.0259,Low Risk,Contract Two Year
24933b83-7577-40a9-a491-f0b2ea1fca65,Male,0,No,No,8,Yes,No phone service,Fiber optic,Month-to-month,Yes,Electronic check,91.52,721.08,Yes,0-1 Year,2,0,0.8046,High Risk,Contract Two Year
beb79919-3f22-4af8-a3be-d01d43cf2fde,Female,1,Yes,Yes,33,Yes,No phone service,DSL,One year,Yes,Mailed check,79.15,2607.71,No,2-4 Years,2,0,0.024,Low Risk,Contract Two Year
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,Female,1,Yes,No,41,Yes,No phone service,No,Month-to-month,No,Electronic check,110.2,4516.43,Yes,2-4 Years,1,0,0.7218,High Risk,Contract One Year
956269f0-e5d7-4875-adad-d6c795a76d79,Female,0,Yes,No,72,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,63.42,4567.12,No,4+ Years,2,0,0.1763,Low Risk,Contract One Year
ff50bde4-3825-47b8-9cab-cc97663f1c97,Male,1,No,No,33,Yes,No phone service,Fiber optic,One year,No,Bank transfer (automatic),24.64,819.42,No,2-4 Years,2,1,0.0265,Low Risk,Contract Two Year
7e570ddf-8270-40a8-a369-b584ff5e9ff0,Male,0,No,Yes,23,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),85.47,1976.0,No,1-2 Years,3,1,0.5105,Medium Risk,Contract One Year
dc713d96-0c0f-4195-817a-f08a1745d6d8,Female,1,No,Yes,37,Yes,No,No,Month-to-month,No,Electronic check,91.58,3389.82,Yes,2-4 Years,1,0,0.6904,Medium Risk,Contract One Year
28f49481-a0a0-4dc4-a720-9bdf1c11f735,Female,0,Yes,No,35,Yes,No,DSL,Two year,No,Bank transfer (automatic),65.71,2300.88,No,2-4 Years,2,1,0.0412,Low Risk,Contract One Year
98ae4334-6c12-4ce8-ae34-0454cac5b68c,Male,1,No,No,47,Yes,No,Fiber optic,Two year,No,Mailed check,89.93,4224.26,No,2-4 Years,2,0,0.041,Low Risk,Contract One Year
988c24c9-61b1-4d22-a280-1c4510435a10,Male,1,No,Yes,1,Yes,Yes,No,One year,No,Electronic check,90.78,82.2,No,0-1 Year,2,0,0.1582,Low Risk,Contract Two Year
405cacec-8774-49a9-b7d2-1e02ff01cf99,Female,1,Yes,No,14,Yes,Yes,No,Two year,No,Credit card (automatic),67.88,947.29,No,1-2 Years,2,1,0.0306,Low Risk,Contract One Year
f143262f-dc5c-4eed-8da0-365bf89897b9,Female,1,Yes,No,9,Yes,Yes,DSL,Two year,Yes,Bank transfer (automatic),89.67,806.0,No,0-1 Year,3,1,0.0153,Low Risk,Contract One Year
1d53434b-b881-49b9-ae27-0da702f06b90,Female,0,Yes,No,42,Yes,No phone service,DSL,Month-to-month,Yes,Electronic check,62.4,2625.68,Yes,2-4 Years,2,0,0.6857,Medium Risk,Contract One Year
c0398710-8976-4334-a281-7efdae849217,Male,1,Yes,No,51,Yes,No,No,Two year,Yes,Credit card (automatic),21.41,1094.51,No,4+ Years,1,1,0.0493,Low Risk,Contract One Year
5715bd6f-a416-4293-84c2-e2e3444ea7c8,Female,1,Yes,Yes,52,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),74.86,3893.83,No,4+ Years,2,1,0.4171,Medium Risk,Contract One Year
287d06ca-6f4c-469a-8b22-d3081c8eaee9,Male,0,No,Yes,4,Yes,Yes,DSL,Month-to-month,No,Mailed check,109.46,434.94,No,0-1 Year,3,0,0.4276,Medium Risk,Contract One Year
b8db0672-f42d-47cc-80d4-af5974273ca3,Female,1,No,No,23,Yes,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),78.99,1806.86,Yes,1-2 Years,3,1,0.6845,Medium Risk,Contract One Year
f8cda88b-436d-46e2-b83c-fe0be037e5ed,Female,0,No,No,15,Yes,Yes,DSL,One year,No,Electronic check,94.18,1403.09,No,1-2 Years,3,0,0.0415,Low Risk,Contract Two Year
81f76d1c-2dbc-4134-830f-f46e8026695f,Female,0,No,No,36,Yes,No,No,Month-to-month,Yes,Mailed check,113.01,4060.04,No,2-4 Years,1,0,0.5254,Medium Risk,Contract One Year
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,Male,1,Yes,Yes,71,Yes,No phone service,Fiber optic,One year,No,Credit card (automatic),47.37,3361.81,No,4+ Years,2,1,0.032,Low Risk,Contract Two Year
81f631d4-a392-41a7-9777-a4774c66e0a8,Female,0,Yes,No,28,Yes,No,No,Two year,Yes,Credit card (automatic),111.68,3132.01,No,2-4 Years,1,1,0.0112,Low Risk,Contract One Year
5fb8d16c-2720-497d-b2eb-d6899be578c7,Female,0,No,No,45,Yes,No,Fiber optic,Two year,Yes,Credit card (automatic),47.96,2163.04,No,2-4 Years,2,1,0.0347,Low Risk,Contract One Year
f4188f3f-8a14-4e62-a95b-4715c333e861,Male,1,No,No,6,Yes,No phone service,Fiber optic,One year,No,Mailed check,64.13,388.75,No,0-1 Year,2,0,0.0506,Low Risk,Contract Two Year
eb2263dd-87c5-421e-ac24-a3c5c754108f,Female,0,Yes,No,44,Yes,Yes,No,Two year,Yes,Electronic check,60.11,2642.26,No,2-4 Years,2,0,0.0289,Low Risk,Contract One Year
7d154385-52fb-443b-9954-6eb400257ad1,Female,0,No,Yes,62,Yes,No phone service,Fiber optic,One year,No,Mailed check,72.45,4497.62,No,4+ Years,2,0,0.0493,Low Risk,Contract Two Year
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Female,1,No,No,62,Yes,No,Fiber optic,One year,Yes,Credit card (automatic),29.31,1812.56,No,4+ Years,2,1,0.0155,Low Risk,Contract Two Year
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,Male,0,No,Yes,27,Yes,Yes,DSL,Two year,Yes,Electronic check,61.17,1655.86,No,2-4 Years,3,0,0.0285,Low Risk,Contract One Year
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,Male,0,Yes,Yes,3,Yes,No phone service,DSL,One year,Yes,Mailed check,18.95,48.48,No,0-1 Year,2,0,0.0876,Low Risk,Contract Two Year
14296c07-f26b-4776-913e-4de2e0c53cb8,Female,1,No,Yes,72,Yes,Yes,No,Two year,Yes,Mailed check,71.93,5173.07,No,4+ Years,2,0,0.018,Low Risk,Contract One Year
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,Female,0,Yes,No,62,Yes,Yes,No,One year,No,Mailed check,40.57,2523.6,No,4+ Years,2,0,0.0271,Low Risk,Contract Two Year
885f6e66-c2b6-42c5-ba5d-310011b7e948,Male,0,Yes,No,51,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),45.33,2310.81,Yes,4+ Years,2,1,0.4844,Medium Risk,Contract One Year
a8e56e0c-20de-435d-a031-d750c40db9b4,Female,1,Yes,No,24,Yes,No phone service,Fiber optic,One year,Yes,Credit card (automatic),113.01,2708.84,No,2-4 Years,2,1,0.1237,Low Risk,Contract Two Year
2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,Female,1,Yes,No,32,Yes,No phone service,No,Two year,No,Credit card (automatic),70.39,2257.99,No,2-4 Years,1,1,0.0253,Low Risk,Contract One Year
9b49bd26-df57-459a-8715-a10343dac043,Female,1,No,No,52,Yes,No phone service,DSL,One year,No,Mailed check,54.79,2855.17,No,4+ Years,2,0,0.0206,Low Risk,Contract Two Year
edcd465e-3638-4821-b6e0-7cc06c52c49f,Female,1,No,Yes,58,Yes,No,Fiber optic,Month-to-month,No,Mailed check,114.98,6666.67,No,4+ Years,2,0,0.3676,Medium Risk,Contract One Year
b09b2a5c-badc-432a-8159-0f538a0f4efb,Female,1,No,No,39,Yes,Yes,No,One year,Yes,Mailed check,68.22,2661.97,No,2-4 Years,2,0,0.0467,Low Risk,Contract Two Year
66245bfa-4fcc-439a-b683-d2e6337ea2df,Male,0,No,No,56,Yes,Yes,DSL,Two year,No,Credit card (automatic),21.96,1230.44,No,4+ Years,3,1,0.0109,Low Risk,Contract One Year
5f987c71-a65e-488e-abf3-ad39fec21bbe,Female,0,Yes,No,2,Yes,No phone service,Fiber optic,Two year,Yes,Bank transfer (automatic),68.77,123.4,No,0-1 Year,2,1,0.035,Low Risk,Contract One Year
7394988f-847f-49b4-a64d-1bcb702753a1,Female,1,No,No,54,Yes,Yes,No,One year,No,Credit card (automatic),21.57,1157.8,No,4+ Years,2,1,0.0502,Low Risk,Contract Two Year
1064005c-3985-43cf-bf76-be1d1efa2197,Female,1,No,Yes,1,Yes,No phone service,No,Month-to-month,No,Electronic check,42.33,47.04,Yes,0-1 Year,1,0,0.7662,High Risk,Contract Two Year
8dcdcd03-969b-4662-8562-8059568cc69b,Male,0,Yes,No,2,Yes,No,No,Two year,No,Electronic check,71.61,139.06,No,0-1 Year,1,0,0.0416,Low Risk,Contract One Year
01d74256-3860-4ab6-96a4-02f23ae8cc93,Male,1,Yes,No,32,Yes,No phone service,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),73.82,2364.89,No,2-4 Years,2,1,0.6202,Medium Risk,Contract One Year
0f1259e0-a18f-46b6-b535-106e122c9a56,Male,0,No,Yes,68,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),26.38,1795.16,Yes,4+ Years,3,1,0.5084,Medium Risk,Contract One Year
080aadfb-e7c9-4b26-9141-25c63a9bedd4,Female,1,No,No,56,Yes,No phone service,DSL,One year,No,Electronic check,42.13,2365.36,No,4+ Years,2,0,0.026,Low Risk,Contract Two Year
839fbc50-1223-4513-9496-f63cdc1110c1,Male,1,No,Yes,38,Yes,Yes,No,Two year,Yes,Mailed check,55.21,2091.16,No,2-4 Years,2,0,0.0135,Low Risk,Contract One Year
7c441fe7-ab42-40a7-874a-493b3ceddf2d,Male,1,Yes,Yes,70,Yes,No phone service,No,One year,Yes,Credit card (automatic),58.33,4085.07,No,4+ Years,1,1,0.0344,Low Risk,Contract Two Year
b92da22b-21df-406f-8a0b-3c3336d8393a,Female,1,No,No,16,Yes,No,No,Two year,Yes,Electronic check,102.2,1634.87,No,1-2 Years,1,0,0.042,Low Risk,Contract One Year
93829b43-922f-415a-a1e3-db63ef7ddc76,Male,0,No,Yes,59,Yes,No phone service,DSL,Month-to-month,Yes,Mailed check,37.0,2179.05,Yes,4+ Years,2,0,0.5754,Medium Risk,Contract One Year
7914c120-c8dc-419f-be35-11287900f7f9,Male,1,No,No,3,Yes,No,DSL,Month-to-month,No,Bank transfer (automatic),77.63,228.91,Yes,0-1 Year,2,1,0.7062,High Risk,Contract One Year
1825bc54-30be-445f-a835-14f2ceb81f9d,Female,0,Yes,No,59,Yes,Yes,No,Two year,Yes,Credit card (automatic),40.38,2383.56,No,4+ Years,2,1,0.0121,Low Risk,Contract One Year
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Male,0,Yes,No,67,Yes,No phone service,DSL,Month-to-month,Yes,Bank transfer (automatic),99.6,6676.35,No,4+ Years,2,1,0.215,Low Risk,Contract One Year
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,Female,1,Yes,No,20,Yes,Yes,Fiber optic,Two year,No,Bank transfer (automatic),83.09,1662.12,No,1-2 Years,3,1,0.0371,Low Risk,Contract One Year
a748dbcf-ac61-4e63-8dde-29a6baa4b71a,Female,1,Yes,Yes,52,Yes,No,No,One year,No,Electronic check,112.77,5864.51,No,4+ Years,1,0,0.0304,Low Risk,Contract Two Year
0f844fef-1931-49ee-a56c-0941fbf24050,Male,0,Yes,No,40,Yes,Yes,DSL,Month-to-month,No,Credit card (automatic),57.12,2282.31,No,2-4 Years,3,1,0.4862,Medium Risk,Contract One Year
ccf3a171-56dc-4907-ba6c-34ab6712303a,Female,0,No,No,1,Yes,No phone service,Fiber optic,One year,No,Bank transfer (automatic),86.16,84.0,No,0-1 Year,2,1,0.1289,Low Risk,Contract Two Year
310c0c00-3fa7-4104-9bf9-0e27dc96925e,Female,0,Yes,No,57,Yes,No,No,One year,No,Credit card (automatic),29.65,1686.09,No,4+ Years,1,1,0.0256,Low Risk,Contract Two Year
23e2fcb4-72d8-467d-894a-05e430b187ef,Male,1,Yes,No,23,Yes,No,Fiber optic,Month-to-month,No,Electronic check,72.67,1668.82,Yes,1-2 Years,2,0,0.7634,High Risk,Contract One Year
766ecb15-474e-4c19-aef9-12766c006f61,Female,1,Yes,Yes,42,Yes,Yes,Fiber optic,Two year,No,Credit card (automatic),44.17,1858.11,No,2-4 Years,3,1,0.0414,Low Risk,Contract One Year
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,Male,0,No,Yes,16,Yes,No,Fiber optic,Two year,No,Electronic check,100.38,1609.61,No,1-2 Years,2,0,0.0416,Low Risk,Contract One Year
db20a56e-dc81-4fe7-8eda-8bbb71710434,Male,0,Yes,No,60,Yes,Yes,DSL,Two year,No,Electronic check,44.46,2661.22,No,4+ Years,3,0,0.03,Low Risk,Contract One Year
a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,Male,0,No,Yes,1,Yes,Yes,DSL,One year,No,Bank transfer (automatic),27.61,23.13,No,0-1 Year,3,1,0.014,Low Risk,Contract Two Year
03c72ba8-d605-4770-8a63-f881ffd0f9d5,Female,1,No,Yes,12,Yes,No,No,Month-to-month,No,Mailed check,74.36,888.77,No,1-2 Years,1,0,0.4501,Medium Risk,Contract One Year
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Male,0,No,No,32,Yes,No,No,One year,Yes,Bank transfer (automatic),81.88,2619.84,No,2-4 Years,1,1,0.0226,Low Risk,Contract Two Year
680ac07a-2a93-4d62-bc83-5dc0d9441fa5,Female,1,Yes,No,9,Yes,Yes,Fiber optic,One year,No,Credit card (automatic),46.28,408.1,No,0-1 Year,3,1,0.0893,Low Risk,Contract Two Year
dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,Female,1,Yes,Yes,19,Yes,Yes,Fiber optic,Month-to-month,No,Electronic check,91.21,1728.6,Yes,1-2 Years,3,0,0.7428,High Risk,Contract One Year
2a25a888-0f02-4ad0-a706-7ef466aa9385,Female,1,No,No,3,Yes,Yes,No,Month-to-month,No,Electronic check,104.31,306.0,Yes,0-1 Year,2,0,0.8229,High Risk,Contract One Year
63f2ae24-fc3d-4348-808d-4127610461e3,Male,1,Yes,No,54,Yes,No phone service,No,One year,Yes,Mailed check,96.63,5220.02,No,4+ Years,1,0,0.0402,Low Risk,Contract Two Year
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,Female,0,Yes,No,24,Yes,No,Fiber optic,Two year,No,Electronic check,103.77,2490.33,No,2-4 Years,2,0,0.0241,Low Risk,Contract One Year
b253d218-6c4a-47ea-8906-17f2747b6dba,Female,1,No,No,72,Yes,Yes,DSL,Two year,Yes,Mailed check,97.18,6994.65,No,4+ Years,3,0,0.0171,Low Risk,Contract One Year
c88a618e-fed4-457d-bb02-6576f512c4c3,Female,0,Yes,No,25,Yes,No phone service,No,Two year,Yes,Credit card (automatic),18.76,463.68,No,2-4 Years,1,1,0.0334,Low Risk,Contract One Year
7c967f79-b7e9-4aca-a970-65e18e46d534,Male,1,Yes,Yes,66,Yes,No,DSL,One year,No,Bank transfer (automatic),87.79,5791.9,No,4+ Years,2,1,0.0306,Low Risk,Contract Two Year
37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,Female,0,Yes,No,61,Yes,Yes,No,Month-to-month,Yes,Mailed check,40.79,2485.37,Yes,4+ Years,2,0,0.4676,Medium Risk,Contract One Year
bc594585-9445-48c0-8ef8-c2d6f7fd5646,Male,1,Yes,No,33,Yes,Yes,DSL,Month-to-month,No,Bank transfer (automatic),20.07,670.48,Yes,2-4 Years,3,1,0.6645,Medium Risk,Contract One Year
504867ba-bf7b-439b-8f9a-ea4b8acd4e10,Female,1,Yes,No,14,Yes,No,No,Two year,Yes,Electronic check,50.95,718.29,No,1-2 Years,1,0,0.0226,Low Risk,Contract One Year
7a0ecfea-958c-49ba-8cd6-20c20ea2622b,Female,1,No,No,20,Yes,Yes,Fiber optic,One year,No,Mailed check,55.08,1098.15,No,1-2 Years,3,0,0.0313,Low Risk,Contract Two Year
87f7e1fb-da4b-49ca-ab5c-f46780bacd64,Female,1,Yes,Yes,8,Yes,No,No,One year,No,Bank transfer (automatic),103.6,829.63,No,0-1 Year,1,1,0.0683,Low Risk,Contract Two Year
82010c62-f5f5-4b22-8e8f-a8e0284d82e5,Male,1,No,Yes,17,Yes,Yes,No,Two year,Yes,Credit card (automatic),49.21,841.29,No,1-2 Years,2,1,0.027,Low Risk,Contract One Year
118a9d29-2f92-4996-99f1-95d014822f53,Female,0,No,Yes,48,Yes,Yes,DSL,Two year,No,Mailed check,27.66,1324.22,No,4+ Years,3,0,0.0047,Low Risk,Contract One Year
dca02eec-acda-4acc-9165-e21098543881,Male,0,No,No,22,Yes,No phone service,No,One year,Yes,Electronic check,42.77,933.85,No,1-2 Years,1,0,0.0412,Low Risk,Contract Two Year
f10c718b-1eb0-438a-a75d-d5af3c365296,Female,1,No,Yes,38,Yes,No phone service,DSL,Two year,No,Bank transfer (automatic),116.63,4422.96,No,2-4 Years,2,1,0.0243,Low Risk,Contract One Year
94340a03-3f07-4814-91d6-3f78e3e9de99,Male,1,No,No,51,Yes,Yes,Fiber optic,Month-to-month,No,Electronic check,107.9,5509.26,Yes,4+ Years,3,0,0.8383,High Risk,Contract Two Year
14fcdd54-9e8f-4965-8a2c-827e98326856,Male,0,No,No,27,Yes,No phone service,Fiber optic,Month-to-month,No,Electronic check,61.91,1670.61,Yes,2-4 Years,2,0,0.7351,High Risk,Contract One Year
90b2b633-956b-4c0c-a849-9b926b5252e3,Female,1,No,No,21,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),68.77,1445.63,Yes,1-2 Years,3,1,0.5969,Medium Risk,Contract One Year
42c18a62-ef48-48d5-90fd-9d3f85d51695,Male,1,Yes,Yes,28,Yes,Yes,Fiber optic,Two year,No,Credit card (automatic),85.48,2390.57,No,2-4 Years,3,1,0.0343,Low Risk,Contract One Year
506e5a9a-b758-488d-ab73-295b344a54b8,Male,0,Yes,Yes,69,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,41.38,2848.88,No,4+ Years,2,0,0.2638,Low Risk,Contract One Year
21813d25-6552-48a6-83ff-50113d1a85dd,Male,1,No,No,48,Yes,Yes,No,Two year,No,Mailed check,46.47,2225.15,No,4+ Years,2,0,0.0154,Low Risk,Contract One Year
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Female,0,No,No,35,Yes,No,DSL,Two year,No,Mailed check,95.49,3335.44,No,2-4 Years,2,0,0.0236,Low Risk,Contract One Year
ef8c485b-c07a-40f2-add4-253b50f0fd0a,Female,1,Yes,No,17,Yes,No phone service,No,One year,No,Electronic check,118.2,2013.65,No,1-2 Years,1,0,0.0703,Low Risk,Contract Two Year
9f044aed-7552-4327-8262-7f7312922f83,Female,1,Yes,Yes,30,Yes,No,DSL,Two year,Yes,Electronic check,114.12,3431.06,No,2-4 Years,2,0,0.0113,Low Risk,Contract One Year
